Name,Model,ID,Date,Time in,Time out,manufacturer,RFID_ID
"Измеритель давления многофункциональный, версия 016",ПРОМА-ИДМ-016,1200,09-Feb-2021,10:00:26,10:01:01,"НПП ""ПРОМА""",
"Измеритель давления многофункциональный, версия 016",ПРОМА-ИДМ-016,1201,09-Feb-2021,10:00:41,10:01:15,"НПП ""ПРОМА""",
"Измеритель давления многофункциональный, версия 010",ПРОМА-ИДМ-010,1202,09-Feb-2021,10:00:55,10:01:34,"НПП ""ПРОМА""",
"Измеритель давления многофункциональный, версия 010",ПРОМА-ИДМ-010,1203,09-Feb-2021,10:01:10,10:01:49,"НПП ""ПРОМА""",
Датчик давления микропроцессорный,ДДМ-03-МИ,1204,09-Feb-2021,10:01:25,10:02:04,"НПП ""ПРОМА""",
Датчик давления микропроцессорный,ДДМ-03-МИ,1205,09-Feb-2021,10:01:39,10:02:18,"НПП ""ПРОМА""",
Манометр ТМ серии 10,ТМ-310,1206,09-Feb-2021,11:00:59,11:01:34,"ЗАО ""РОСМА""",
Манометр ТМ серии 10,ТМ-310,1207,09-Feb-2021,11:01:14,11:01:48,"ЗАО ""РОСМА""",
Манометр ТМ серии 10,ТМ-310,1208,09-Feb-2021,11:01:28,11:02:03,"ЗАО ""РОСМА""",
Манометр ТМ серии 10,ТМ-510,1209,09-Feb-2021,11:01:43,11:02:27,"ЗАО ""РОСМА""",
Манометр ТМ серии 10,ТМ-510,1210,09-Feb-2021,11:01:58,11:02:42,"ЗАО ""РОСМА""",
Измеритель температуры многофункциональный,ПРОМА-ИТМ-010,1211,09-Feb-2021,14:14:14,14:14:58,"НПП ""ПРОМА""",
Измеритель температуры многофункциональный,ПРОМА-ИТМ-010,1212,09-Feb-2021,14:14:29,14:15:05,"НПП ""ПРОМА""",
Измеритель температуры многофункциональный,ПРОМА-ИТМ-010,1213,09-Feb-2021,14:14:43,14:15:20,"НПП ""ПРОМА""",
Измеритель уровня,ПРОМА-ИУ-010,1214,09-Feb-2021,14:14:58,14:15:34,"НПП ""ПРОМА""",
Измеритель уровня,ПРОМА-ИУ-010,1215,09-Feb-2021,14:15:13,14:15:49,"НПП ""ПРОМА""",
Датчик давления микропроцессорный коммунальный,ДДМ-03Т,1216,09-Feb-2021,14:15:27,14:16:04,"НПП ""ПРОМА""",
Датчик давления микропроцессорный коммунальный,ДДМ-03Т,1217,09-Feb-2021,14:15:42,14:16:18,"НПП ""ПРОМА""",
Датчик давления микропроцессорный коммунальный,ДДМ-03Т,1218,09-Feb-2021,14:15:57,14:16:32,"НПП ""ПРОМА""",
Термометр промышленный,TG53,1219,09-Feb-2021,16:47:06,16:47:41,"АО ""ВИКА МЕРА""",
Термометр промышленный,TG53,1220,09-Feb-2021,16:47:21,16:47:56,"АО ""ВИКА МЕРА""",
